chocolate,noun,a food prepared from ground roasted cacao beans,,,
course,noun,the act or action of moving in a path from point to point,,,
to choose,verb,"Word not found. Suggestions: touches, choose, tough cookie",,,
cousin,noun,a child of one's uncle or aunt,,,
cinema,noun,movie —often used before another noun,,,
cow,noun,the mature female of cattle (genus Bos),,,
city,noun,"an inhabited place of greater size, population, or importance than a town or village",,,
cream,noun,the yellowish part of milk containing from 18 to about 40 percent butterfat,,,
class,noun,a body of students meeting regularly to study the same subject,,,
cup,noun,an open usually bowl-shaped drinking vessel,,,
classroom,noun,a place where classes meet,,,
customer,noun,one that purchases a commodity or service,,,
to clean,verb,"Word not found. Suggestions: the cleaners, come clean, Tokelauan",,,
to cut,verb,"Word not found. Suggestions: took out, to a T, toss out",,,
dad,noun,a male parent : father —often used as a name,,,
difficult,adjective,"hard to do, make, or carry out : arduous",,,
daily,adjective,"occurring, made, or acted upon every day",,,
dinner,noun,the principal meal of the day,,,
to dance,verb,"Word not found. Suggestions: toe dance, toe dancer, toe dances",,,
dirty,adjective,not clean or pure,,,
dancer,noun,to move one's body rhythmically usually to music : to engage in or perform a dance,,,
dish,noun,a more or less concave vessel from which food is served,,,
dancing,noun,to move one's body rhythmically usually to music : to engage in or perform a dance,,,
to do,verb,necessary to be done,,,
dangerous,adjective,"involving possible injury, pain, harm, or loss : characterized by danger",,,
doctor,noun,"a person skilled or specializing in healing arts; especially : someone (such as a physician, dentist, or veterinarian) who holds an advanced degree and is licensed to practice",,,
dark,adjective,"devoid or partially devoid of light : not receiving, reflecting, transmitting, or radiating light",,,
dog,noun,"a carnivorous mammal (Canis familiaris) closely related to the gray wolf that has long been domesticated as a pet, occurs in a variety of sizes, colors, and coat types, and is sometimes trained to perform special tasks (such as herding, guarding, or acting as a service animal)",,,
date,noun,"the brown, oblong edible fruit of a palm (Phoenix dactylifera)",,,
dollar,noun,any of various basic monetary units (as in the U.S. and Canada),,,
daughter,noun,a female offspring especially of human parents,,,
door,noun,a usually swinging or sliding barrier by which an entry is closed and opened; also : a similar part of a piece of furniture,,,
day,noun,the time of light between one night and the next,,,
down,adverb,toward or in a lower physical position,,,
dear,adjective,highly valued : precious —often used in a salutation,,,
downstairs,adverb,down the stairs : on or to a lower floor,,,
December,noun,the 12th month of the Gregorian calendar,,,
to draw,verb,"Word not found. Suggestions: tea tray, top drawer, top drawers",,,
to decide,verb,"Word not found. Suggestions: to the side, decide, tout de suite",,,
dress,noun,to make or set straight,,,
delicious,adjective,appealing to one of the bodily senses especially of taste or smell,,,
to drink,verb,to cause someone to drink lots of alcohol,,,
desk,noun,"a table, frame, or case with a sloping or horizontal surface especially for writing and reading and often with drawers, compartments, and pigeonholes",,,
to drive,verb,"Word not found. Suggestions: co-drive, codrive, sex drive",,,
detail,noun,extended treatment of or attention to particular items,,,
driver,noun,one that drives: such as,,,
dialogue,noun,"the conversational element of literary or dramatic composition (such as a movie, play, or novel)",,,
driving,noun,communicating force,,,
dictionary,noun,"a reference source in print or electronic form containing words usually alphabetically arranged along with information about their forms, pronunciations, functions, etymologies, meanings, and syntactic and idiomatic uses",,,
dry,adjective,free or relatively free from a liquid and especially water,,,
to die,verb,extremely desirable or appealing,,,
during,preposition,throughout the duration of,,,
diet,noun,food and drink regularly provided or consumed,,,
DVD,noun,an optical disc using a high-capacity format and containing especially a video recording (such as a movie) or computer data —often used before another noun; also : the high-capacity format used on such a disk,,,
different,adjective,"partly or totally unlike in nature, form, or quality : dissimilar —often followed by from, than, or chiefly British to",,,
each,determiner,being one of two or more distinct individuals having a similar relation and often constituting an aggregate,,,
euro,noun,the common basic monetary unit of most countries of the European Union,,,
ear,noun,the characteristic vertebrate organ of hearing and equilibrium consisting in the typical mammal of a sound-collecting outer ear separated by the tympanic membrane from a sound-transmitting middle ear that in turn is separated from a sensory inner ear by membranous fenestrae,,,
even,adverb,having a horizontal surface : flat,,,
early,adjective,near the beginning of a period of time,,,
evening,noun,the latter part and close of the day and early part of the night,,,
east,noun,"to, toward, or in the east",,,
ever,adverb,always,,,
easy,adjective,causing or involving little difficulty or discomfort,,,
every,determiner,being each individual or part of a group without exception,,,
to eat,verb,"Word not found. Suggestions: toea, to heart, toeas",,,
everybody,pronoun,everyone,,,
egg,noun,the hard-shelled reproductive body produced by a bird and especially by the common domestic chicken; also : its contents used as food,,,
everyone,pronoun,every person : everybody,,,
eight,number,a number that is one more than seven,,,
everything,pronoun,all that exists,,,
eighteen,number,a number that is one more than seventeen,,,
exam,noun,examination,,,
eighty,number,a number that is equal to eight times 10,,,
example,noun,a person or way of behaving that serves as a pattern to be imitated or not to be imitated,,,
elephant,noun,"a thickset, usually extremely large, nearly hairless, herbivorous mammal (family Elephantidae, the elephant family) that has a snout elongated into a muscular trunk and two incisors in the upper jaw developed especially in the male into long ivory tusks:",,,
excited,adjective,"having, showing, or characterized by a heightened state of energy, enthusiasm, eagerness, etc. : feeling or showing excitement",,,
eleven,number,a number that is one more than 10,,,
exciting,adjective,producing excitement,,,
else,adverb,in a different manner or place or at a different time,,,
exercise,noun,the act of bringing into play or realizing in action : use,,,
email,noun,a means or system for transmitting messages electronically (as between computers on a network),,,
expensive,adjective,involving high cost or sacrifice,,,
end,noun,the part of an area that lies at the boundary,,,
to explain,verb,to immediately say something in order to prevent confusion or misunderstanding,,,
to enjoy,verb,"Word not found. Suggestions: teensy, enjoy, to die for",,,
extra,adjective,"more than is due, usual, or necessary : additional",,,
enough,determiner,"occurring in such quantity, quality, or scope as to fully meet demands, needs, or expectations",,,
eye,noun,"a specialized light-sensitive sensory structure of animals that in nearly all vertebrates, most arthropods, and some mollusks is the image-forming organ of sight; especially : the nearly spherical usually paired hollow organ of sight in vertebrates that is filled with a jellylike material, is lined with a photosensitive retina, and is lodged in a bony orbit in the skull",,,
face,noun,"the front part of the head that in humans extends from the forehead to the chin and includes the mouth, nose, cheeks, and eyes",,,
five,number,a number that is one more than four,,,
to fall,verb,"Word not found. Suggestions: the Fall, snowfall, topfull",,,
to fix,verb,"Word not found. Suggestions: toffies, to wit, topic",,,
FALSE,adjective,,,,
flat,noun,lying at full length or spread out upon the ground : prostrate,,,
family,noun,the basic unit in society traditionally consisting of two parents rearing their children; also : any of various social units differing from but regarded as equivalent to the traditional family,,,
flight,noun,an act or instance of passing through the air by the use of wings,,,
famous,adjective,widely known,,,
floor,noun,the level base of a room,,,
fantastic,adjective,based on fantasy : not real,,,
flower,noun,"the specialized part of an angiospermous plant that occurs singly or in clusters, possesses whorls of often colorful petals or sepals, and bears the reproductive structures (such as stamens or pistils) involved in the development of seeds and fruit : blossom",,,
far,adverb,at or to a considerable distance in space,,,
to fly,verb,"Word not found. Suggestions: TOEFL, pop fly, topfull",,,
farm,noun,a sum or due fixed in amount and payable at fixed intervals,,,
to follow,verb,someone or something that has been so successful that it is very difficult for the person or thing coming next to be as good,,,
farmer,noun,a person who pays a fixed sum for some privilege or source of income,,,
food,noun,"material consisting essentially of protein, carbohydrate, and fat used in the body of an organism to sustain growth, repair, and vital processes and to furnish energy; also : such food together with supplementary substances (such as minerals, vitamins, and condiments)",,,
fast,adjective,"characterized by quick motion, operation, or effect:",,,
foot,noun,the terminal part of the vertebrate leg upon which an individual stands,,,
fat,adjective,notable for having an unusual amount of fat:,,,
football,noun,"any of several games played between two teams on a usually rectangular field having goalposts or goals at each end and whose object is to get the ball over a goal line, into a goal, or between goalposts by running, passing, or kicking: such as",,,
father,noun,a male parent,,,
for,preposition,—used as a function word to indicate purpose,,,
favourite,adjective,"Word not found. Suggestions: favorite, favorites, favoured",,,
to forget,verb,"Word not found. Suggestions: the forces, to order, the Force",,,
February,noun,the second month of the Gregorian calendar,,,
form,noun,the shape and structure of something as distinguished from its material,,,
to feel,verb,"Word not found. Suggestions: TOEFL, to heel, topfull",,,
forty,number,a number equal to four times 10,,,
festival,noun,"of, relating to, appropriate to, or set apart as a festival",,,
four,number,a number that is one more than three,,,
few,determiner,not many persons or things,,,
fourteen,number,a number that is one more than 13,,,
fifteen,number,a number that is one more than fourteen,,,
fourth,number,one that is number four in a series,,,
fifth,number,one that is number five in a series,,,
free,adjective,not costing or charging anything,,,
fifty,number,a number equal to five times 10,,,
Friday,noun,the sixth day of the week,,,
to fill,verb,something that is very difficult to do,,,
friend,noun,one attached to another by affection or esteem —sometimes used ironically or humorously to refer to a person who is disliked or annoying,,,
film,noun,a thin skin or membranous covering : pellicle,,,
friendly,adjective,"of, relating to, or befitting a friend: such as",,,
final,adjective,not to be altered or undone,,,
